"","1974","1976","1978","1982","1984","1987","1988","1989","1990","1991","1993","1994","1996","1998","2000","2004","2006"
"1890",5.5,4.73333333333333,4.18181818181818,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1895",5.02702702702703,5.78048780487805,5.91428571428571,4.70588235294118,4.88888888888889,5,5.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1900",5.60869565217391,5.81034482758621,5.65384615384615,5.74285714285714,6.03225806451613,5.1,4.33333333333333,5.06666666666667,6.28571428571429,5.66666666666667,4,NA,NA,NA,NA,NA,NA
"1905",5.81372549019608,5.60526315789474,4.95774647887324,5.05263157894737,5.45454545454545,5.81818181818182,5.1875,4.82352941176471,5.42105263157895,6.16666666666667,4.91666666666667,5.11111111111111,5.94444444444444,5.5,NA,NA,NA
"1910",6.17073170731707,6.55670103092783,6.20731707317073,5.27173913043478,6.17241379310345,5.61016949152542,4.88636363636364,5.7,6.60714285714286,5.375,5.15789473684211,5.58974358974359,5.45454545454545,5.875,5.875,NA,NA
"1915",6.06481481481481,6.46363636363636,6.08235294117647,5.93877551020408,6.56626506024096,5.51685393258427,5.56603773584906,6.26829268292683,6.62162162162162,6.01923076923077,6.60416666666667,5.98684210526316,5.22222222222222,6.11111111111111,5.93333333333333,6.19047619047619,6
"1920",6.1031746031746,6.01652892561984,6.23893805309735,5.92741935483871,5.87209302325581,5.37113402061856,5.83333333333333,6.38571428571429,6.56521739130435,5.84313725490196,5.59322033898305,5.88235294117647,5.62162162162162,5.72549019607843,4.95744680851064,7,6.08108108108108
"1925",6.32710280373832,5.94318181818182,6.33636363636364,5.87903225806452,5.9247311827957,5.52631578947368,6.31481481481481,5.63265306122449,6.18518518518519,6.39583333333333,6.19565217391304,6.67857142857143,6.0609756097561,5.87719298245614,6.62903225806452,6.56756756756757,5.89473684210526
"1930",6.176,6.43956043956044,6.12345679012346,5.97391304347826,5.83098591549296,5.94949494949495,5.58333333333333,5.6271186440678,6.29545454545455,6,5.80392156862745,6.36559139784946,5.9875,5.98148148148148,5.88405797101449,6.03448275862069,6.44444444444444
"1935",6.18518518518519,6.38211382113821,6.02941176470588,5.95652173913043,6.43010752688172,5.81081081081081,5.88,5.71666666666667,6.65,5.44897959183673,6.140625,6.1,6.22340425531915,6.35820895522388,6.21875,6.95890410958904,6.18518518518519
"1940",6.21621621621622,6.25949367088608,6.28472222222222,6.26950354609929,6.19327731092437,6.02027027027027,5.89705882352941,6.25925925925926,6.47826086956522,6.83116883116883,5.80821917808219,6.07843137254902,6.48299319727891,6.78823529411765,6.74666666666667,6.61682242990654,6.13953488372093
"1945",6.5,6.05113636363636,6.32820512820513,6.26162790697674,6.71341463414634,6.37125748502994,6.43298969072165,6.60215053763441,6.67816091954023,6.37179487179487,6.56565656565657,6.6875,6.7258064516129,6.77064220183486,6.6039603960396,6.30252100840336,6.86725663716814
"1950",5.47368421052632,5.9125,5.76585365853659,6.00833333333333,6.13375796178344,5.88372093023256,6.45378151260504,6.1588785046729,6.41592920353982,6.38135593220339,6.14285714285714,6.52551020408163,6.41361256544503,6.55371900826446,6.1796875,6.49206349206349,6.43801652892562
"1955",5.09677419354839,5.32673267326733,5.37254901960784,5.27935222672065,5.71739130434783,5.72897196261682,6.03260869565217,5.93333333333333,5.74285714285714,6.28776978417266,6.30232558139535,6.22935779816514,6.06276150627615,6.3433734939759,5.94736842105263,6,6.43537414965986
"1960",NA,NA,5.14285714285714,4.92592592592593,5.49723756906077,5.6839378238342,5.70731707317073,5.97520661157025,5.91578947368421,6,5.97391304347826,6.08264462809917,6.02777777777778,6.08771929824561,6.22699386503067,6.23489932885906,6.03597122302158
"1965",NA,NA,NA,NA,4.95454545454545,4.94067796610169,4.69318181818182,5.2247191011236,5.05813953488372,5.94845360824742,5.6036036036036,5.78835978835979,5.98378378378378,5.59027777777778,5.66165413533835,6.16153846153846,6.21985815602837
"1970",NA,NA,NA,NA,NA,NA,6.5,5.05882352941176,5.52173913043478,4.69230769230769,5.20833333333333,5.55833333333333,5.45408163265306,5.72222222222222,5.9765625,6.06,5.81538461538462
"1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,5.17391304347826,5.11111111111111,5.75257731958763,5.51485148514851,6.00689655172414,5.8595041322314
"1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5.93684210526316,5.83333333333333
"1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.66666666666667,5.375
